Date,Open,High,Low,Close,Adj Close,Volume
2017-02-13,2.570000,2.590000,2.560000,2.580000,2.580000,2038756
2017-02-14,2.580000,2.580000,2.490000,2.500000,2.500000,7411492
2017-02-15,2.510000,2.590000,2.500000,2.580000,2.580000,6348736
2017-02-16,2.500000,2.550000,2.450000,2.500000,2.500000,13984805
2017-02-17,2.480000,2.580000,2.480000,2.530000,2.530000,6953422
2017-02-21,2.530000,2.560000,2.520000,2.560000,2.560000,3543296
2017-02-22,2.540000,2.560000,2.525000,2.530000,2.530000,2777277
2017-02-23,2.520000,2.550000,2.510000,2.520000,2.520000,4268423
2017-02-24,2.500000,2.520000,2.340000,2.400000,2.400000,9613627
2017-02-27,2.370000,2.400000,2.320000,2.360000,2.360000,10045205
2017-02-28,2.350000,2.360000,2.300000,2.300000,2.300000,6573870
2017-03-01,2.290000,2.410000,2.290000,2.400000,2.400000,5296632
2017-03-02,2.400000,2.450000,2.390000,2.410000,2.410000,3884065
2017-03-03,2.410000,2.420000,2.340000,2.420000,2.420000,6547791
2017-03-06,2.370000,2.380000,2.300000,2.330000,2.330000,4960568
2017-03-07,2.350000,2.350000,2.210000,2.230000,2.230000,6713144
2017-03-08,2.170000,2.210000,2.080000,2.100000,2.100000,20402831
2017-03-09,2.030000,2.100000,2.030000,2.100000,2.100000,22792175
2017-03-10,2.110000,2.140000,2.050000,2.060000,2.060000,6565262
2017-03-13,2.050000,2.100000,2.020000,2.040000,2.040000,5893506
2017-03-14,2.040000,2.060000,1.990000,2.000000,2.000000,10035696
2017-03-15,2.000000,2.080000,2.000000,2.070000,2.070000,4815028
2017-03-16,2.120000,2.150000,2.100000,2.110000,2.110000,6237478
2017-03-17,2.140000,2.150000,2.090000,2.110000,2.110000,15107102
2017-03-20,2.120000,2.130000,2.060000,2.070000,2.070000,3112847
2017-03-21,2.080000,2.100000,2.010000,2.010000,2.010000,3857079
2017-03-22,2.010000,2.030000,2.000000,2.020000,2.020000,5643129
2017-03-23,2.040000,2.050000,2.010000,2.010000,2.010000,2123798
2017-03-24,2.030000,2.040000,2.010000,2.020000,2.020000,2382049
2017-03-27,2.020000,2.090000,2.010000,2.090000,2.090000,2878103
2017-03-28,2.090000,2.130000,2.070000,2.080000,2.080000,3139384
2017-03-29,2.100000,2.130000,2.080000,2.120000,2.120000,2023317
2017-03-30,2.100000,2.120000,2.080000,2.090000,2.090000,2071116
2017-03-31,2.070000,2.090000,2.040000,2.040000,2.040000,4650056
2017-04-03,2.020000,2.070000,2.020000,2.060000,2.060000,4161371
2017-04-04,2.060000,2.080000,2.050000,2.060000,2.060000,2864653
2017-04-05,2.070000,2.080000,2.020000,2.020000,2.020000,4689398
2017-04-06,2.050000,2.050000,2.010000,2.020000,2.020000,3388494
2017-04-07,2.070000,2.130000,2.050000,2.120000,2.120000,7224041
2017-04-10,2.130000,2.240000,2.120000,2.220000,2.220000,7148680
2017-04-11,2.290000,2.380000,2.270000,2.370000,2.370000,11105845
2017-04-12,2.440000,2.440000,2.210000,2.220000,2.220000,9621367
2017-04-13,2.240000,2.280000,2.230000,2.270000,2.270000,3040669
2017-04-17,2.270000,2.350000,2.270000,2.330000,2.330000,4860742
2017-04-18,2.320000,2.350000,2.280000,2.350000,2.350000,4744046
2017-04-19,2.330000,2.340000,2.280000,2.280000,2.280000,3630879
2017-04-20,2.270000,2.290000,2.250000,2.270000,2.270000,2647959
2017-04-21,2.270000,2.280000,2.220000,2.240000,2.240000,2830721
2017-04-24,2.250000,2.270000,2.240000,2.240000,2.240000,2589389
2017-04-25,2.260000,2.300000,2.250000,2.260000,2.260000,3085745
2017-04-26,2.260000,2.300000,2.260000,2.260000,2.260000,2755536
2017-04-27,2.280000,2.280000,2.200000,2.200000,2.200000,4353351
2017-04-28,2.140000,2.160000,2.080000,2.110000,2.110000,6643464
2017-05-01,2.100000,2.110000,2.020000,2.040000,2.040000,6320741
2017-05-02,2.070000,2.160000,2.050000,2.140000,2.140000,6968390
2017-05-03,2.160000,2.190000,2.070000,2.110000,2.110000,5961763
2017-05-04,2.110000,2.120000,2.040000,2.050000,2.050000,5857287
2017-05-05,2.070000,2.100000,2.060000,2.080000,2.080000,2985944
2017-05-08,2.070000,2.100000,2.060000,2.080000,2.080000,4338522
2017-05-09,2.100000,2.110000,2.045000,2.050000,2.050000,4070835
2017-05-10,2.060000,2.080000,2.040000,2.050000,2.050000,6544513
2017-05-11,2.120000,2.250000,2.120000,2.210000,2.210000,14178425
2017-05-12,2.200000,2.230000,2.120000,2.120000,2.120000,7136308
2017-05-15,2.150000,2.180000,2.120000,2.140000,2.140000,2696587
2017-05-16,2.150000,2.160000,2.100000,2.100000,2.100000,3563745
2017-05-17,2.100000,2.110000,2.050000,2.070000,2.070000,5017963
2017-05-18,2.060000,2.080000,2.030000,2.060000,2.060000,7085974
2017-05-19,2.080000,2.110000,2.070000,2.110000,2.110000,4823026
2017-05-23,2.110000,2.120000,2.080000,2.090000,2.090000,2984182
